,Razão Social,Nome de Pregão,Segmento,Código,Categoria
230,DOORDASH INC,DOORDASH INC,BDR / CDADRN,D2AS,
231,DOVER CORP,DOVER CORP,BDR / CDADRN,D1OV,
232,DOW INC,DOW INC,BDR / CDADRN,D1OW,
233,DOXIMITY INC,DOXIMITY INC,BDR / CDADRN,D2OC,
234,DR HORTON INC,DR HORTON IN,BDR / CDADRN,D1HI,
235,DR REDDYS LABORATORIES LTD,DR REDDYS LA,BDR / CDADRN,R1DY,
236,DRAFTKINGS INC,DRAFTKINGS,BDR / CDADRN,D2KN,
237,DTE ENERGY CO,DTE ENERGY C,BDR / CDADRN,D1TE,
238,DUKE ENERGY CORPORATION,DUKE ENERGY,BDR / CDADRN,DUKB,
239,DUPONT DE NEMOURS INC.,DUPONT N INC,BDR / CDADRN,DDNB,
240,DXC TECHNOLOGY CO,DXC TECHNOLO,BDR / CDADRN,D1XC,
241,DYNATRACE INC,DYNATRACE IN,BDR / CDADRN,D2TC,
242,EAGLE MATERIALS INC,EAGLE MATLS,BDR / CDADRN,E2AG,
243,EASTMAN CHEMICAL CO,EASTMAN CHEM,BDR / CDADRN,E1MN,
244,EATON CORP PLC,EATON CORP P,BDR / CDADRN,E1TN,
245,EBAY INC.,EBAY,BDR / CDADRN,EBAY,
246,ECOLAB INC,ECOLAB INC,BDR / CDADRN,E1CL,
247,ECOPETROL SA,ECOPETROL SA,BDR / CDADRN,E1CO,
248,EDISON INTERNATIONAL,EDISON INTER,BDR / CDADRN,E1IX,
249,EDWARDS LIFESCIENCES CORP,EDWARDS LIFE,BDR / CDADRN,E1WL,
250,ELASTIC NV,ELASTIC NV,BDR / CDADRN,E2ST,
251,ELECTRONIC ARTS INC,ELECTR ARTS,BDR / CDADRN,EAIN,
252,ELEVANCE HEALTH. INC.,ELEV HEALTH,BDR / CDADRN,E1LV,
253,ELI LILLY AND COMPANY,LILLY,BDR / CDADRN,LILY,
254,EMERSON ELECTRIC CO,EMERSON ELEC,BDR / CDADRN,E1MR,
255,ENCOMPASS HEALTH CORP,ENCOMPASS,BDR / CDADRN,E2HC,
256,ENOVIS CORPORATION,ENOVIS CORP,BDR / CDADRN,E2NO,
257,ENPHASE ENERGY INC,ENPHASE ENER,BDR / CDADRN,E2NP,
258,ENTEGRIS INC,ENTEGRIS INC,BDR / CDADRN,E2NT,
259,ENTERGY CORP,ENTERGY CORP,BDR / CDADRN,E1TR,
260,EOG RESOURCES INC,EOG RESOURCE,BDR / CDADRN,E1OG,
261,EPAM SYSTEMS INC,EPAM SYSTEMS,BDR / CDADRN,E2PA,
262,EQUINIX INC,EQUINIX INC,BDR / CDADRN,EQIX,
263,EQUINOR ASA,EQUINOR ASA,BDR / CDADRN,E1QN,
264,EQUITY LIFESTYLE PROPERTIES INC,EQUITY LIFES,BDR / CDADRN,E2LS,
265,EQUITY RESIDENTIAL,EQUITY RESID,BDR / CDADRN,E1QR,
266,ERICSSON LM TELEPHONE CO,ERICSSON LM,BDR / CDADRN,E1RI,
267,ESSEX PROPERTY TRUST INC,ESSEX PROPER,BDR / CDADRN,E1SS,
268,ESTEE LAUDER COMPANIES INC,ESTEE LAUDER,BDR / CDADRN,ELCI,
269,ETSY INC,ETSY INC,BDR / CDADRN,E2TS,
270,EURONET WORLDWIDE INC,EURONETWORLD,BDR / CDADRN,E2EF,
271,EVEREST GROUP LTD,EVEREST GRP,BDR / CDADRN,E1VE,
272,EVERGY INC,EVERGY INC,BDR / CDADRN,E1VR,
273,EVERSOURCE ENERGY,EVERSOURCE E,BDR / CDADRN,E1SE,
274,EXACT SCIENCES CORP,EXACT SCIENC,BDR / CDADRN,E2XA,
275,EXELIXIS INC,EXELIXIS INC,BDR / CDADRN,E2XE,
276,EXELON CORP,EXELON CORP,BDR / CDADRN,E1XC,
277,EXP WORLD HOLDINGS INC,EXP WORLD H,BDR / CDADRN,E2XP,
278,EXPEDIA GROUP INC,EXPEDIA GROU,BDR / CDADRN,EXGR,
279,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS I,BDR / CDADRN,E1XP,
280,EXPERIAN,EXPERIAN,BDR / CDADRN,EPER,
281,EXTRA SPACE STORAGE INC,EXTRA SPACE,BDR / CDADRN,E1XR,
282,EXXON MOBIL CORPORATION,EXXON MOBIL,BDR / CDADRN,EXXO,
283,F5. INC.,F5 INC,BDR / CDADRN,F1FI,
284,FAIR ISAAC CORP,FAIR ISAAC C,BDR / CDADRN,F2IC,
285,FASTENAL CO,FASTENAL,BDR / CDADRN,FASL,
286,FASTLY INC,FASTLY INC,BDR / CDADRN,F1SL,
287,FEDEX CORPORATION,FEDEX CORP,BDR / CDADRN,FDXB,
288,FIDELITY NATIONAL INFORMATION SERVICES INC,FIDELITY NAT,BDR / CDADRN,F1NI,
289,FIFTH THIRD BANCORP,FIFTH THIRD,BDR / CDADRN,FFTD,
290,FIRST INDUSTRIAL REALTY TRUST INC,FIRST IND RT,BDR / CDADRN,F2RT,
291,FIRST SOLAR. INC,FIRST SOLAR,BDR / CDADRN,FSLR,
292,FIRSTENERGY CORP,FIRSTENERGY,BDR / CDADRN,F1EC,
293,FISERV INC,FISERV INC,BDR / CDADRN,F1IS,
294,FISKER INC,FISKER INC,BDR / CDADRN,F2SK,
295,FIVE9 INC,FIVE9 INC,BDR / CDADRN,F2IV,
296,FIVERR INTERNATIONAL LTD,FIVERR INTL,BDR / CDADRN,F2VR,
297,FLEETCOR TECHNOLOGIES INC,FLEETCOR TEC,BDR / CDADRN,FLTC,
298,FLOWSERVE CORP,FLOWSERVE CO,BDR / CDADRN,F1LS,
299,FMC CORP,FMC CORP,BDR / CDADRN,F1MC,
300,FOMENTO ECONOMICO MEXICANO SAB DE CV - FEMSA,FEMSA,BDR / CDADRN,FMXB,
301,FORD MOTORS COMPANY,FORD MOTORS,BDR / CDADRN,FDMO,
302,FORTINET INC,FORTINET INC,BDR / CDADRN,F1TN,
303,FORTIVE CORP,FORTIVE CORP,BDR / CDADRN,F1TV,
304,FORTUNE BRANDS INNOVATIONS. INC.,FORTUNE INNO,BDR / CDADRN,F1BH,
305,FOX CORPORATION,FOX CORP,BDR / CDADRN,FOXC,
306,FRANCO-NEVADA CORP,FRANCONEVADA,BDR / CDADRN,F2NV,
307,FRANKLIN RESOURCES INC,FRANKLIN RES,BDR / CDADRN,F1RA,
308,FREEPORT-MCMORAN INC.,FREEPORT,BDR / CDADRN,FCXO,
309,FRESENIUS MEDICAL CARE AG,FRESENIUS,BDR / CDADRN,FMSC,
310,FRESHWORKS INC,FRESHWORKS,BDR / CDADRN,F2RS,
311,GALAPAGOS NV,GALAPAGOS NV,BDR / CDADRN,G1LP,
312,GARMIN LTD,GARMIN LTD,BDR / CDADRN,G1RM,
313,GARTNER INC,GARTNER INC,BDR / CDADRN,G1AR,
314,GDS HOLDINGS LTD,GDS HOLDINGS,BDR / CDADRN,G1DS,
315,GEN DIGITAL INC.,GEN DIGT INC,BDR / CDADRN,S1YM,
316,GENERAL DYNAMICS CORP.,GEN DYNAMICS,BDR / CDADRN,GDBR,
317,GENERAL ELECTRIC COMPANY,GE,BDR / CDADRN,GEOO,
318,GENERAL MILLS INC,GENERAL MILL,BDR / CDADRN,G1MI,
319,GENERAL MOTORS COMPANY,GENERAL MOT,BDR / CDADRN,GMCO,
320,GENTEX CORP,GENTEX CORP,BDR / CDADRN,G2NT,
321,GENUINE PARTS CO,GENUINE PART,BDR / CDADRN,G1PC,
322,GEOPARK LTD,GEOPARK LTD,BDR / CDADRN,GPRK,
323,GILEAD SCIENCES. INC.,GILEAD,BDR / CDADRN,GILD,
324,GLENCORE,GLENCORE,BDR / CDADRN,GLEN,
325,GLOBAL PAYMENTS INC,GLOBAL PAYME,BDR / CDADRN,G1PI,
326,GLOBE LIFE INC,GLOBE LIFE I,BDR / CDADRN,G1LL,
327,GLOBUS MEDICAL INC,GLOBUS MEDIC,BDR / CDADRN,G2ME,
328,GODADDY INC,GODADDY INC,BDR / CDADRN,G2DD,
329,GOLD FIELDS LTD,GOLD FIELDS,BDR / CDADRN,G1FI,
330,GOLDMAN SACHS GROUP INC.,GOLDMANSACHS,BDR / CDADRN,GSGI,
331,GOPRO. INC.,GOPRO,BDR / CDADRN,GPRO,
332,GRUPO AEROPORTUARIO DEL PACIFICO SAB DE CV,GP AEROPACIF,BDR / CDADRN,P2CF,
333,GRUPO AEROPORTUARIO DEL SURESTE SAB DE CV,GP AEROSURES,BDR / CDADRN,S2RE,
334,GSK PLC.,GSK PLC,BDR / CDADRN,G1SK,
335,GUIDEWIRE SOFTWARE INC,GUIDEWIRE SW,BDR / CDADRN,G2WR,
